market,latitude,longitude
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Mai Gatari (CBM),12.78,9.44
Mai Gatari (CBM),12.78,9.44
Mai Gatari (CBM),12.78,9.44
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Jibia (CBM),13.08,7.24
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Mushin,6.61,3.4
Sabo,6.61,3.4
Mushin,6.61,3.4
Mushin,6.61,3.4
Balogun,6.61,3.4
Mushin,6.61,3.4
Bodija,7.4,3.92
Bodija,7.4,3.92
Sango,7.4,3.92
Bodija,7.4,3.92
Bodija,7.4,3.92
Oje,7.4,3.92
Bodija,7.4,3.92
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Mai Gatari (CBM),12.78,9.44
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Mai Adoua (CBM),13.18,8.23
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Mushin,6.61,3.4
Mushin,6.61,3.4
Mushin,6.61,3.4
Balogun,6.61,3.4
Bodija,7.4,3.92
Bodija,7.4,3.92
Oje,7.4,3.92
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Mai Gatari (CBM),12.78,9.44
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Mai Adoua (CBM),13.18,8.23
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Balogun,6.61,3.4
Balogun,6.61,3.4
Sabo,6.61,3.4
Balogun,6.61,3.4
Balogun,6.61,3.4
Sango,7.4,3.92
Bodija,7.4,3.92
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Potiskum,11.71,11.08
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Mai Gatari (CBM),12.78,9.44
Mai Gatari (CBM),12.78,9.44
Giwa,11.28,7.42
Giwa,11.28,7.42
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Mai Adoua (CBM),13.18,8.23
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Sabo,6.61,3.4
Sabo,6.61,3.4
Sabo,6.61,3.4
Mushin,6.61,3.4
Oje,7.4,3.92
Bodija,7.4,3.92
Sango,7.4,3.92
Bodija,7.4,3.92
Bodija,7.4,3.92
Sango,7.4,3.92
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Mai Gatari (CBM),12.78,9.44
Mai Gatari (CBM),12.78,9.44
Mai Gatari (CBM),12.78,9.44
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Sabo,6.61,3.4
Sabo,6.61,3.4
Sabo,6.61,3.4
Oje,7.4,3.92
Oje,7.4,3.92
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Mai Gatari (CBM),12.78,9.44
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Sabo,6.61,3.4
Sabo,6.61,3.4
Mushin,6.61,3.4
Bodija,7.4,3.92
Sango,7.4,3.92
Sango,7.4,3.92
Bodija,7.4,3.92
Bodija,7.4,3.92
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Mai Gatari (CBM),12.78,9.44
Mai Gatari (CBM),12.78,9.44
Mai Gatari (CBM),12.78,9.44
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Jibia (CBM),13.08,7.24
Gwandu,12.49,4.64
Sabo,6.61,3.4
Balogun,6.61,3.4
Sabo,6.61,3.4
Sabo,6.61,3.4
Sango,7.4,3.92
Sango,7.4,3.92
Bodija,7.4,3.92
Bodija,7.4,3.92
Oje,7.4,3.92
Bodija,7.4,3.92
Sango,7.4,3.92
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Potiskum,11.71,11.08
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Biu,10.61,12.19
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dandume,11.42,7.2
Dandume,11.42,7.2
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Mushin,6.61,3.4
Sabo,6.61,3.4
Sabo,6.61,3.4
Bodija,7.4,3.92
Oje,7.4,3.92
Bodija,7.4,3.92
Oje,7.4,3.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Mai Gatari (CBM),12.78,9.44
Mai Gatari (CBM),12.78,9.44
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Mai Adoua (CBM),13.18,8.23
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Sabo,6.61,3.4
Sabo,6.61,3.4
Sabo,6.61,3.4
Sango,7.4,3.92
Oje,7.4,3.92
Sango,7.4,3.92
Oje,7.4,3.92
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Mai Gatari (CBM),12.78,9.44
Mai Gatari (CBM),12.78,9.44
Mai Gatari (CBM),12.78,9.44
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Balogun,6.61,3.4
Sabo,6.61,3.4
Sabo,6.61,3.4
Mushin,6.61,3.4
Sabo,6.61,3.4
Sango,7.4,3.92
Sango,7.4,3.92
Sango,7.4,3.92
Sango,7.4,3.92
Oje,7.4,3.92
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Potiskum,11.71,11.08
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Mubi,10.27,13.26
Mubi,10.27,13.26
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Mai Gatari (CBM),12.78,9.44
Mai Gatari (CBM),12.78,9.44
Mai Gatari (CBM),12.78,9.44
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Sabo,6.61,3.4
Mushin,6.61,3.4
Sabo,6.61,3.4
Sabo,6.61,3.4
Bodija,7.4,3.92
Oje,7.4,3.92
Sango,7.4,3.92
Bodija,7.4,3.92
Oje,7.4,3.92
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Mai Gatari (CBM),12.78,9.44
Mai Gatari (CBM),12.78,9.44
Mai Gatari (CBM),12.78,9.44
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Gwandu,12.49,4.64
Sabo,6.61,3.4
Sango,7.4,3.92
Oje,7.4,3.92
Oje,7.4,3.92
Bodija,7.4,3.92
Sango,7.4,3.92
Sango,7.4,3.92
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Mai Gatari (CBM),12.78,9.44
Mai Gatari (CBM),12.78,9.44
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Sabo,6.61,3.4
Balogun,6.61,3.4
Mushin,6.61,3.4
Oje,7.4,3.92
Oje,7.4,3.92
Sango,7.4,3.92
Sango,7.4,3.92
Illela (CBM),13.64,5.28
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Gujungu,12.36,9.58
Mai Gatari (CBM),12.78,9.44
Mai Gatari (CBM),12.78,9.44
Mai Gatari (CBM),12.78,9.44
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Jibia (CBM),13.08,7.24
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Mai Adoua (CBM),13.18,8.23
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Gwandu,12.49,4.64
Mushin,6.61,3.4
Mushin,6.61,3.4
Sabo,6.61,3.4
Balogun,6.61,3.4
Sabo,6.61,3.4
Balogun,6.61,3.4
Bodija,7.4,3.92
Oje,7.4,3.92
Sango,7.4,3.92
Oje,7.4,3.92
Illela (CBM),13.64,5.28
Illela (CBM),13.64,5.28
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Geidam,12.89,11.92
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Nguru,12.87,10.45
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Potiskum,11.71,11.08
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Kaura Namoda,12.6,6.59
Mubi,10.27,13.26
Mubi,10.27,13.26
Mubi,10.27,13.26
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Biu,10.61,12.19
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Gujungu,12.36,9.58
Mai Gatari (CBM),12.78,9.44
Mai Gatari (CBM),12.78,9.44
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Giwa,11.28,7.42
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Saminaka,10.42,8.68
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dawanau,12.09,8.43
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Dandume,11.42,7.2
Jibia (CBM),13.08,7.24
Jibia (CBM),13.08,7.24
Mai Adoua (CBM),13.18,8.23
